person_id,loan_grade,loan_intent,loan_amnt,loan_int_rate,loan_percent_income
5145,B,PERSONAL,9000,11.36,0.15
5146,A,VENTURE,9000,8.49,0.14
5147,A,PERSONAL,9000,,0.14
5148,A,DEBTCONSOLIDATION,9000,6.03,0.14
5149,D,VENTURE,12000,14.54,0.27
5150,E,PERSONAL,10000,17.14,0.23
5151,A,HOMEIMPROVEMENT,9000,6.03,0.14
5152,A,VENTURE,4000,5.79,0.09
5153,A,DEBTCONSOLIDATION,7200,7.29,0.16
5154,A,EDUCATION,2000,5.79,0.05
5155,B,DEBTCONSOLIDATION,9000,9.91,0.14
5156,A,VENTURE,14500,7.29,0.33
5157,A,MEDICAL,6000,5.42,0.14
5158,D,HOMEIMPROVEMENT,9000,15.28,0.15
5159,B,MEDICAL,9000,11.86,0.14
5160,A,DEBTCONSOLIDATION,10750,6.17,0.24
5161,A,HOMEIMPROVEMENT,8475,6.91,0.19
5162,A,MEDICAL,5500,6.17,0.13
5163,B,PERSONAL,9000,11.49,0.13
5164,A,MEDICAL,3600,5.79,0.08
5165,C,VENTURE,9000,13.49,0.13
5166,B,EDUCATION,9000,,0.13
5167,C,VENTURE,5000,13.23,0.11
5168,C,VENTURE,5000,,0.11
5169,B,DEBTCONSOLIDATION,9000,10.74,0.13
5170,D,PERSONAL,2500,15.7,0.07
5171,C,VENTURE,9000,13.47,0.13
5172,B,HOMEIMPROVEMENT,9000,10.59,0.12
5173,B,PERSONAL,9000,10.0,0.12
5174,C,VENTURE,10000,12.87,0.23
5175,B,DEBTCONSOLIDATION,9000,10.99,0.12
5176,A,HOMEIMPROVEMENT,5000,7.4,0.11
5177,A,VENTURE,2000,7.4,0.05
5178,B,EDUCATION,9000,9.63,0.13
5179,D,EDUCATION,9000,14.09,0.13
5180,D,PERSONAL,9000,15.31,0.2
5181,C,VENTURE,9000,12.84,0.12
5182,A,VENTURE,3600,9.32,0.08
5183,A,VENTURE,9000,8.9,0.11
5184,A,DEBTCONSOLIDATION,9000,6.91,0.11
5185,C,VENTURE,9000,13.16,0.11
5186,C,EDUCATION,9000,,0.11
5187,C,EDUCATION,9000,10.91,0.11
5188,A,PERSONAL,9000,7.51,0.11
5189,B,DEBTCONSOLIDATION,9000,10.59,0.11
5190,B,DEBTCONSOLIDATION,18900,10.14,0.43
5191,B,DEBTCONSOLIDATION,9000,11.36,0.11
5192,D,DEBTCONSOLIDATION,3600,17.27,0.09
5193,A,MEDICAL,17000,6.62,0.39
5194,B,MEDICAL,9000,11.26,0.11
5195,C,MEDICAL,9000,13.92,0.11
5196,B,VENTURE,7200,11.89,0.16
5197,C,PERSONAL,6300,12.29,0.14
5198,B,HOMEIMPROVEMENT,9000,12.69,0.1
5199,C,MEDICAL,9000,13.49,0.1
5200,B,MEDICAL,9000,,0.1
5201,C,VENTURE,3000,14.79,0.07
5202,C,MEDICAL,10000,13.22,0.23
5203,A,HOMEIMPROVEMENT,4000,7.51,0.09
5204,C,VENTURE,9000,13.22,0.1
5205,A,VENTURE,7000,7.51,0.16
5206,A,EDUCATION,9000,6.92,0.1
5207,D,PERSONAL,9000,15.05,0.11
5208,C,VENTURE,3000,12.98,0.07
5209,B,PERSONAL,2500,12.18,0.07
5210,B,EDUCATION,14300,10.99,0.32
5211,D,DEBTCONSOLIDATION,15000,17.27,0.39
5212,C,MEDICAL,9000,11.34,0.09
5213,B,PERSONAL,9000,,0.09
5214,A,DEBTCONSOLIDATION,6000,6.03,0.14
5215,C,VENTURE,14125,12.99,0.32
5216,A,EDUCATION,9000,5.79,0.08
5217,A,HOMEIMPROVEMENT,9000,7.51,0.08
5218,C,EDUCATION,2500,12.68,0.06
5219,C,VENTURE,6500,14.35,0.15
5220,A,EDUCATION,6500,7.51,0.15
5221,A,DEBTCONSOLIDATION,9000,7.9,0.07
5222,A,EDUCATION,9000,7.14,0.06
5223,C,PERSONAL,5000,12.72,0.11
5224,E,VENTURE,9000,16.45,0.06
5225,B,MEDICAL,8975,11.83,0.37
5226,D,MEDICAL,8975,16.02,0.27
5227,A,DEBTCONSOLIDATION,4000,6.76,0.09
5228,B,VENTURE,5000,10.65,0.11
5229,B,VENTURE,8975,10.99,0.17
5230,A,VENTURE,3500,,0.08
5231,A,EDUCATION,8950,6.17,0.26
5232,C,EDUCATION,8950,13.22,0.27
5233,B,EDUCATION,9250,9.62,0.21
5234,A,MEDICAL,8900,7.29,0.14
5235,C,PERSONAL,15000,13.57,0.34
5236,B,HOMEIMPROVEMENT,8875,10.65,0.46
5237,D,EDUCATION,5000,13.87,0.11
5238,B,PERSONAL,8875,10.59,0.42
5239,A,EDUCATION,8875,8.9,0.39
5240,B,DEBTCONSOLIDATION,8875,10.74,0.39
5241,A,PERSONAL,5600,7.49,0.13
5242,B,MEDICAL,20000,11.89,0.45
5243,B,PERSONAL,8875,10.0,0.36
5244,D,EDUCATION,8875,15.62,0.34
5245,A,MEDICAL,8875,6.62,0.34
5246,B,PERSONAL,8875,,0.31
5247,A,EDUCATION,8875,7.51,0.3
5248,D,MEDICAL,14400,15.37,0.32
5249,A,PERSONAL,6000,7.9,0.13
5250,B,MEDICAL,8850,,0.29
5251,A,PERSONAL,8850,6.62,0.14
5252,A,VENTURE,8800,9.32,0.37
5253,B,PERSONAL,10000,11.71,0.22
5254,D,EDUCATION,8800,14.96,0.19
5255,A,EDUCATION,8800,7.49,0.19
5256,A,PERSONAL,8800,6.62,0.18
5257,C,EDUCATION,8650,14.27,0.19
5258,A,MEDICAL,8800,8.9,0.15
5259,A,EDUCATION,9000,6.62,0.2
5260,B,DEBTCONSOLIDATION,10000,11.71,0.22
5261,F,EDUCATION,8800,18.21,0.12
5262,D,VENTURE,8800,14.59,0.12
5263,A,DEBTCONSOLIDATION,8800,7.51,0.11
5264,B,EDUCATION,8800,10.99,0.08
5265,C,VENTURE,10400,14.27,0.23
5266,C,MEDICAL,5000,13.99,0.11
5267,D,MEDICAL,5000,14.91,0.11
5268,A,MEDICAL,5000,6.54,0.1
5269,B,MEDICAL,6500,10.65,0.14
5270,B,MEDICAL,5000,9.25,0.1
5271,B,VENTURE,14550,11.71,0.32
5272,B,EDUCATION,5000,11.86,0.1
5273,A,EDUCATION,5000,,0.11
5274,A,DEBTCONSOLIDATION,5000,7.88,0.1
5275,B,VENTURE,5000,11.36,0.1
5276,A,VENTURE,3000,6.62,0.07
5277,B,DEBTCONSOLIDATION,5000,10.25,0.1
5278,A,DEBTCONSOLIDATION,5000,7.4,0.1
5279,A,PERSONAL,11000,8.9,0.24
5280,A,PERSONAL,5000,,0.1
5281,D,PERSONAL,5000,14.74,0.1
5282,A,VENTURE,6000,7.51,0.13
5283,C,EDUCATION,5000,11.03,0.1
5284,C,VENTURE,5000,,0.1
5285,A,PERSONAL,5000,7.14,0.1
5286,B,DEBTCONSOLIDATION,5000,11.46,0.1
5287,D,VENTURE,5000,16.29,0.11
5288,B,VENTURE,5000,10.38,0.1
5289,D,DEBTCONSOLIDATION,4150,17.58,0.11
5290,B,VENTURE,5000,10.71,0.1
5291,B,MEDICAL,5000,10.37,0.1
5292,A,PERSONAL,5000,6.62,0.1
5293,A,VENTURE,6000,,0.13
5294,D,DEBTCONSOLIDATION,5000,,0.11
5295,G,DEBTCONSOLIDATION,5000,,0.11
5296,B,MEDICAL,3000,,0.07
5297,C,PERSONAL,8500,14.65,0.22
5298,A,PERSONAL,7000,6.62,0.16
5299,B,MEDICAL,5600,11.71,0.12
5300,A,PERSONAL,8500,7.51,0.4
5301,C,MEDICAL,6000,14.27,0.13
5302,A,PERSONAL,8500,7.9,0.35
5303,B,PERSONAL,3800,10.65,0.08
5304,B,VENTURE,8500,9.88,0.35
5305,A,VENTURE,8500,6.91,0.34
5306,B,VENTURE,8500,11.71,0.34
5307,A,EDUCATION,8500,6.03,0.34
5308,B,MEDICAL,8500,11.71,0.34
5309,C,MEDICAL,8500,12.53,0.34
5310,B,HOMEIMPROVEMENT,8500,12.21,0.34
5311,A,VENTURE,9050,6.62,0.2
5312,B,DEBTCONSOLIDATION,8500,11.26,0.34
5313,C,MEDICAL,8500,13.61,0.34
5314,A,VENTURE,5000,6.62,0.11
5315,A,EDUCATION,8500,6.17,0.33
5316,A,HOMEIMPROVEMENT,6800,6.03,0.15
5317,A,PERSONAL,5000,6.99,0.11
5318,A,HOMEIMPROVEMENT,8000,6.99,0.18
5319,B,EDUCATION,8500,12.21,0.31
5320,A,DEBTCONSOLIDATION,7000,7.49,0.18
5321,A,EDUCATION,8500,8.9,0.31
5322,B,MEDICAL,8500,11.14,0.3
5323,A,VENTURE,5000,7.49,0.11
5324,D,MEDICAL,8500,13.55,0.3
5325,A,DEBTCONSOLIDATION,8500,,0.3
5326,A,MEDICAL,5800,6.99,0.13
5327,D,EDUCATION,8500,15.37,0.29
5328,B,DEBTCONSOLIDATION,8500,10.62,0.29
5329,C,EDUCATION,8500,13.49,0.28
5330,D,EDUCATION,8000,16.49,0.18
5331,B,EDUCATION,14000,11.49,0.31
5332,C,EDUCATION,8500,13.98,0.28
5333,C,MEDICAL,8500,13.16,0.27
5334,D,VENTURE,2000,15.62,0.04
5335,A,MEDICAL,8500,7.88,0.25
5336,D,HOMEIMPROVEMENT,8500,15.05,0.28
5337,B,VENTURE,4725,11.99,0.1
5338,A,HOMEIMPROVEMENT,5500,5.99,0.14
5339,B,VENTURE,8500,10.99,0.22
5340,C,PERSONAL,8500,14.35,0.21
5341,A,HOMEIMPROVEMENT,4075,5.42,0.09
5342,C,VENTURE,8500,13.92,0.25
5343,C,HOMEIMPROVEMENT,14125,13.99,0.31
5344,A,DEBTCONSOLIDATION,8500,7.88,0.21
5345,A,DEBTCONSOLIDATION,8500,7.51,0.2
5346,D,DEBTCONSOLIDATION,5600,16.49,0.14
5347,B,HOMEIMPROVEMENT,10000,9.99,0.22
5348,B,VENTURE,13000,10.99,0.29
5349,C,HOMEIMPROVEMENT,5000,,0.13
5350,A,DEBTCONSOLIDATION,6000,7.49,0.13
5351,A,EDUCATION,8500,6.92,0.2
5352,B,EDUCATION,8500,12.53,0.2
5353,B,MEDICAL,8500,11.14,0.2
5354,B,MEDICAL,8500,10.2,0.2
5355,D,VENTURE,8500,15.58,0.2
5356,A,VENTURE,5000,6.99,0.11
5357,A,VENTURE,8500,5.42,0.19
5358,A,MEDICAL,8500,7.51,0.19
5359,C,VENTURE,8500,13.23,0.22
5360,A,DEBTCONSOLIDATION,4000,6.62,0.09
5361,A,EDUCATION,8500,8.9,0.18
5362,D,VENTURE,10000,16.89,0.22
5363,B,DEBTCONSOLIDATION,8500,10.37,0.18
5364,C,EDUCATION,15000,14.79,0.33
5365,A,EDUCATION,8500,6.54,0.17
5366,B,MEDICAL,3000,10.99,0.07
5367,C,MEDICAL,8500,14.27,0.19
5368,B,VENTURE,8500,10.65,0.17
5369,B,DEBTCONSOLIDATION,8500,11.49,0.19
5370,A,PERSONAL,14650,7.49,0.33
5371,E,EDUCATION,8500,15.7,0.17
5372,B,MEDICAL,8500,10.62,0.16
5373,C,PERSONAL,8500,,0.18
5374,A,PERSONAL,4000,,0.09
5375,A,VENTURE,11000,7.49,0.24
5376,B,DEBTCONSOLIDATION,8500,9.88,0.15
5377,C,MEDICAL,8500,14.22,0.15
5378,A,PERSONAL,7200,7.29,0.16
5379,B,PERSONAL,8500,11.83,0.14
5380,B,VENTURE,8500,,0.14
5381,A,DEBTCONSOLIDATION,7000,5.42,0.16
5382,A,EDUCATION,8500,7.88,0.14
5383,A,DEBTCONSOLIDATION,6250,5.42,0.14
5384,B,VENTURE,8500,11.89,0.13
5385,C,EDUCATION,3000,,0.07
5386,C,DEBTCONSOLIDATION,8500,13.35,0.13
5387,B,MEDICAL,8500,12.21,0.13
5388,A,PERSONAL,8500,,0.13
5389,A,MEDICAL,3000,6.92,0.07
5390,B,VENTURE,8500,11.71,0.11
5391,A,HOMEIMPROVEMENT,8500,6.92,0.12
5392,B,EDUCATION,8450,11.71,0.4
5393,B,EDUCATION,8450,10.62,0.22
5394,A,EDUCATION,5000,5.79,0.11
5395,C,EDUCATION,8450,12.99,0.08
5396,C,VENTURE,15000,13.06,0.33
5397,A,MEDICAL,5000,5.79,0.11
5398,A,EDUCATION,8400,6.62,0.34
5399,A,MEDICAL,9125,5.79,0.2
5400,C,MEDICAL,8400,14.65,0.28
5401,B,PERSONAL,5000,10.59,0.1
5402,A,PERSONAL,5000,7.49,0.1
5403,A,VENTURE,5000,6.99,0.1
5404,B,EDUCATION,10000,11.11,0.22
5405,A,PERSONAL,5000,7.74,0.09
5406,B,EDUCATION,5000,9.91,0.09
5407,A,EDUCATION,5000,7.9,0.09
5408,A,HOMEIMPROVEMENT,10000,,0.22
5409,B,HOMEIMPROVEMENT,3000,9.99,0.07
5410,A,DEBTCONSOLIDATION,4325,6.91,0.1
5411,A,DEBTCONSOLIDATION,1450,,0.03
5412,B,DEBTCONSOLIDATION,4000,9.25,0.09
5413,C,HOMEIMPROVEMENT,5000,12.53,0.09
5414,B,PERSONAL,5000,12.18,0.09
5415,C,EDUCATION,5000,13.43,0.09
5416,B,EDUCATION,5000,10.0,0.09
5417,B,PERSONAL,5000,12.21,0.09
5418,C,DEBTCONSOLIDATION,5000,12.61,0.11
5419,A,PERSONAL,10000,5.79,0.22
5420,C,PERSONAL,5000,14.17,0.09
5421,B,HOMEIMPROVEMENT,5000,11.86,0.09
5422,A,DEBTCONSOLIDATION,10000,6.91,0.22
5423,C,EDUCATION,5000,12.54,0.09
5424,B,HOMEIMPROVEMENT,5000,10.39,0.09
5425,D,EDUCATION,5000,15.62,0.1
5426,A,MEDICAL,3000,6.17,0.07
5427,A,EDUCATION,5000,6.91,0.09
5428,C,VENTURE,5000,13.48,0.09
5429,C,DEBTCONSOLIDATION,5000,,0.09
5430,C,EDUCATION,5000,,0.09
5431,A,VENTURE,5000,8.0,0.09
5432,A,VENTURE,5000,5.42,0.09
5433,C,PERSONAL,5000,14.27,0.09
5434,A,PERSONAL,5000,7.91,0.09
5435,A,EDUCATION,4750,6.39,0.11
5436,D,HOMEIMPROVEMENT,5000,15.62,0.1
5437,A,EDUCATION,6000,6.76,0.13
5438,B,DEBTCONSOLIDATION,5000,,0.09
5439,A,EDUCATION,10000,7.88,0.22
5440,E,EDUCATION,5000,15.13,0.09
5441,A,PERSONAL,4000,7.14,0.09
5442,B,MEDICAL,5000,12.42,0.1
5443,D,DEBTCONSOLIDATION,5000,14.74,0.1
5444,A,HOMEIMPROVEMENT,5000,8.94,0.1
5445,C,HOMEIMPROVEMENT,5000,13.23,0.09
5446,A,HOMEIMPROVEMENT,5000,8.0,0.09
5447,D,HOMEIMPROVEMENT,5000,13.24,0.09
5448,A,MEDICAL,5000,7.49,0.09
5449,C,PERSONAL,5000,13.85,0.09
5450,B,MEDICAL,7200,11.86,0.16
5451,A,MEDICAL,4500,7.14,0.1
5452,A,MEDICAL,5000,7.88,0.11
5453,C,PERSONAL,5000,13.16,0.09
5454,A,EDUCATION,5000,,0.11
5455,A,VENTURE,6000,7.88,0.13
5456,A,EDUCATION,5000,7.14,0.11
5457,A,DEBTCONSOLIDATION,5000,6.17,0.09
5458,C,VENTURE,5000,12.29,0.09
5459,C,EDUCATION,4000,14.35,0.09
5460,A,HOMEIMPROVEMENT,5000,7.29,0.09
5461,D,EDUCATION,5000,14.84,0.09
5462,D,MEDICAL,5000,14.59,0.09
5463,A,EDUCATION,18000,7.88,0.4
5464,A,DEBTCONSOLIDATION,5000,9.32,0.08
5465,D,DEBTCONSOLIDATION,5000,15.95,0.09
5466,B,VENTURE,5000,11.48,0.08
5467,B,PERSONAL,5000,11.36,0.08
5468,A,MEDICAL,1500,,0.03
5469,B,EDUCATION,15000,11.36,0.33
5470,A,VENTURE,5000,6.76,0.11
5471,A,PERSONAL,1500,6.76,0.03
5472,C,EDUCATION,5000,13.49,0.08
5473,D,DEBTCONSOLIDATION,5000,17.27,0.09
5474,A,DEBTCONSOLIDATION,8000,7.51,0.18
5475,D,VENTURE,5000,16.49,0.08
5476,C,MEDICAL,5000,13.99,0.08
5477,A,HOMEIMPROVEMENT,4200,7.14,0.09
5478,A,DEBTCONSOLIDATION,5000,6.99,0.08
5479,A,MEDICAL,5000,8.49,0.08
5480,B,VENTURE,5000,10.99,0.08
5481,A,DEBTCONSOLIDATION,5000,,0.08
5482,A,PERSONAL,10000,7.51,0.22
5483,A,VENTURE,5000,6.91,0.08
5484,D,HOMEIMPROVEMENT,5000,15.57,0.08
5485,B,EDUCATION,3300,10.99,0.07
5486,A,DEBTCONSOLIDATION,5000,6.54,0.09
5487,A,PERSONAL,5000,7.14,0.08
5488,C,PERSONAL,5000,13.98,0.08
5489,C,HOMEIMPROVEMENT,16000,14.22,0.41
5490,C,EDUCATION,14500,13.48,0.32
5491,C,PERSONAL,5000,14.22,0.08
5492,B,VENTURE,10400,10.25,0.23
5493,E,EDUCATION,5000,16.35,0.09
5494,C,EDUCATION,5000,12.84,0.09
5495,C,PERSONAL,5000,13.48,0.11
5496,A,HOMEIMPROVEMENT,5000,,0.08
5497,B,MEDICAL,5000,9.99,0.08
5498,B,HOMEIMPROVEMENT,13000,10.62,0.29
5499,B,EDUCATION,1275,11.36,0.03
5500,A,VENTURE,5000,7.66,0.08
5501,A,EDUCATION,5000,7.49,0.08
5502,A,DEBTCONSOLIDATION,5000,,0.08
5503,B,VENTURE,5000,12.69,0.08
5504,A,VENTURE,5000,7.51,0.08
5505,B,HOMEIMPROVEMENT,5000,10.74,0.08
5506,C,EDUCATION,5000,13.23,0.08
5507,A,DEBTCONSOLIDATION,5000,7.74,0.08
5508,B,EDUCATION,14500,11.48,0.32
5509,A,EDUCATION,5000,9.32,0.08
5510,B,EDUCATION,5000,9.99,0.08
5511,D,EDUCATION,5000,15.33,0.08
5512,B,EDUCATION,6000,11.83,0.13
5513,B,VENTURE,5000,11.86,0.08
5514,A,PERSONAL,5000,6.03,0.08
5515,C,HOMEIMPROVEMENT,4000,13.92,0.09
5516,A,DEBTCONSOLIDATION,5000,7.9,0.08
5517,C,PERSONAL,10000,12.87,0.22
5518,A,PERSONAL,3000,7.05,0.07
5519,A,PERSONAL,5000,5.99,0.08
5520,B,EDUCATION,5000,11.49,0.08
5521,D,MEDICAL,5000,15.62,0.08
5522,B,EDUCATION,4000,11.83,0.09
5523,A,DEBTCONSOLIDATION,4000,8.59,0.09
5524,A,VENTURE,7000,8.94,0.16
5525,C,VENTURE,16000,14.26,0.41
5526,A,MEDICAL,5950,7.74,0.13
5527,A,VENTURE,5000,5.42,0.08
5528,B,EDUCATION,14550,11.83,0.32
5529,C,MEDICAL,5000,13.98,0.08
5530,B,EDUCATION,8000,12.53,0.18
5531,C,MEDICAL,5000,14.22,0.08
5532,A,DEBTCONSOLIDATION,3200,7.74,0.07
5533,A,DEBTCONSOLIDATION,1500,7.05,0.03
5534,B,EDUCATION,9925,11.48,0.22
5535,B,HOMEIMPROVEMENT,5000,10.25,0.08
5536,C,EDUCATION,5000,13.47,0.08
5537,B,EDUCATION,5000,11.11,0.08
5538,C,VENTURE,8000,12.84,0.18
5539,C,HOMEIMPROVEMENT,2700,,0.06
5540,D,MEDICAL,8000,14.11,0.21
5541,B,MEDICAL,10000,12.21,0.22
5542,A,MEDICAL,7000,9.63,0.16
5543,A,EDUCATION,5000,8.0,0.11
5544,B,VENTURE,5000,10.39,0.08
5545,B,VENTURE,12000,,0.27
5546,B,EDUCATION,9200,11.89,0.2
5547,B,MEDICAL,4325,,0.1
5548,D,EDUCATION,12000,14.11,0.31
5549,B,EDUCATION,5000,,0.07
5550,A,DEBTCONSOLIDATION,5000,7.74,0.07
5551,B,MEDICAL,5000,12.18,0.07
5552,B,VENTURE,17000,11.89,0.38
5553,B,PERSONAL,5000,11.86,0.07
5554,A,VENTURE,3600,,0.08
5555,C,EDUCATION,16750,12.53,0.37
5556,C,MEDICAL,7750,12.53,0.17
5557,B,PERSONAL,5000,9.99,0.07
5558,B,VENTURE,5000,10.99,0.07
5559,D,DEBTCONSOLIDATION,5000,15.99,0.08
5560,B,DEBTCONSOLIDATION,5000,10.38,0.07
5561,B,EDUCATION,5000,11.71,0.07
5562,D,PERSONAL,5000,,0.07
5563,D,MEDICAL,5000,16.49,0.08
5564,D,PERSONAL,6400,,0.14
5565,E,EDUCATION,5000,17.39,0.07
5566,B,VENTURE,5000,11.14,0.07
5567,B,MEDICAL,5000,,0.07
5568,D,MEDICAL,5000,15.21,0.08
5569,C,VENTURE,5000,12.99,0.07
5570,F,VENTURE,5000,18.21,0.13
5571,A,VENTURE,5000,7.49,0.07
5572,A,EDUCATION,7375,9.32,0.16
5573,B,MEDICAL,5000,11.49,0.07
5574,D,DEBTCONSOLIDATION,5000,13.67,0.13
5575,D,PERSONAL,5000,,0.07
5576,A,MEDICAL,5000,,0.07
5577,B,EDUCATION,8000,10.51,0.18
5578,C,MEDICAL,5000,13.92,0.07
5579,B,DEBTCONSOLIDATION,5000,9.01,0.07
5580,C,HOMEIMPROVEMENT,5000,12.99,0.07
5581,A,MEDICAL,5000,,0.07
5582,B,VENTURE,5000,11.36,0.07
5583,B,VENTURE,5000,,0.07
5584,A,MEDICAL,7500,8.32,0.17
5585,A,EDUCATION,7500,8.0,0.17
5586,A,PERSONAL,5000,7.49,0.07
5587,A,EDUCATION,5000,7.49,0.07
5588,B,VENTURE,5000,11.49,0.07
5589,B,VENTURE,5000,10.99,0.07
5590,C,MEDICAL,7000,,0.16
5591,F,EDUCATION,25000,16.08,0.64
5592,B,VENTURE,21000,9.76,0.47
5593,A,DEBTCONSOLIDATION,5000,5.79,0.07
5594,C,HOMEIMPROVEMENT,9000,11.03,0.2
5595,B,VENTURE,7500,10.39,0.17
5596,C,PERSONAL,5000,11.78,0.07
5597,C,EDUCATION,6500,10.28,0.14
5598,A,DEBTCONSOLIDATION,5000,7.9,0.07
5599,A,DEBTCONSOLIDATION,5000,8.9,0.07
5600,A,HOMEIMPROVEMENT,5000,9.63,0.07
5601,A,EDUCATION,9000,5.79,0.2
5602,C,DEBTCONSOLIDATION,5000,12.53,0.07
5603,A,DEBTCONSOLIDATION,5000,7.66,0.06
5604,B,PERSONAL,11700,10.74,0.26
5605,A,HOMEIMPROVEMENT,5000,7.74,0.06
5606,D,MEDICAL,4000,15.05,0.1
5607,B,VENTURE,5000,12.42,0.06
5608,B,EDUCATION,4750,12.21,0.11
5609,C,EDUCATION,5000,15.27,0.07
5610,C,DEBTCONSOLIDATION,5000,13.49,0.07
5611,B,DEBTCONSOLIDATION,20500,9.25,0.45
5612,A,PERSONAL,3250,,0.08
5613,A,PERSONAL,5000,5.42,0.06
5614,D,EDUCATION,5550,15.37,0.12
5615,D,MEDICAL,5000,14.84,0.07
5616,C,EDUCATION,2800,12.87,0.07
5617,A,MEDICAL,10000,5.99,0.22
5618,A,MEDICAL,5000,5.42,0.06
5619,A,PERSONAL,6000,5.79,0.13
5620,B,EDUCATION,5000,9.88,0.11
5621,E,HOMEIMPROVEMENT,5000,16.35,0.06
5622,C,VENTURE,5000,12.23,0.06
5623,D,EDUCATION,5000,15.31,0.07
5624,C,EDUCATION,14000,14.72,0.31
5625,D,MEDICAL,15250,15.05,0.39
5626,B,EDUCATION,5000,11.58,0.06
5627,A,MEDICAL,6000,6.03,0.13
5628,A,EDUCATION,14000,7.9,0.31
5629,B,VENTURE,5000,11.11,0.06
5630,C,VENTURE,12000,14.65,0.26
5631,C,EDUCATION,10000,15.27,0.22
5632,B,VENTURE,5000,10.99,0.06
5633,B,MEDICAL,3000,11.49,0.07
5634,C,VENTURE,10000,16.11,0.22
5635,C,MEDICAL,13000,12.99,0.29
5636,E,DEBTCONSOLIDATION,5000,17.19,0.07
5637,D,PERSONAL,5000,16.77,0.06
5638,A,HOMEIMPROVEMENT,5000,6.62,0.06
5639,C,MEDICAL,5000,15.96,0.06
5640,B,DEBTCONSOLIDATION,5000,10.59,0.06
5641,B,VENTURE,5000,9.99,0.06
5642,A,DEBTCONSOLIDATION,7200,6.91,0.16
5643,A,HOMEIMPROVEMENT,15000,5.79,0.33
5644,A,MEDICAL,6400,6.91,0.16
5645,D,EDUCATION,5000,14.96,0.06
5646,B,VENTURE,2000,10.36,0.04
5647,B,MEDICAL,1000,9.62,0.02
5648,D,DEBTCONSOLIDATION,5000,14.96,0.06
5649,D,EDUCATION,5000,16.02,0.05
5650,B,VENTURE,9500,10.38,0.21
5651,A,EDUCATION,5000,9.63,0.05
5652,C,MEDICAL,1800,13.48,0.04
5653,E,VENTURE,5000,18.39,0.05
5654,A,VENTURE,1600,7.88,0.04
5655,D,PERSONAL,5000,14.84,0.06
5656,C,DEBTCONSOLIDATION,4650,10.28,0.12
5657,A,HOMEIMPROVEMENT,11000,6.62,0.24
5658,A,EDUCATION,7000,7.88,0.15
5659,A,VENTURE,7000,7.14,0.15
5660,B,EDUCATION,14125,12.42,0.36
5661,A,EDUCATION,5000,6.03,0.05
5662,A,PERSONAL,5000,8.49,0.05
5663,A,DEBTCONSOLIDATION,5000,,0.05
5664,B,VENTURE,11000,11.71,0.24
5665,D,DEBTCONSOLIDATION,2400,16.02,0.06
5666,E,PERSONAL,5000,19.03,0.05
5667,A,MEDICAL,9250,9.63,0.23
5668,A,DEBTCONSOLIDATION,6400,8.59,0.14
5669,A,VENTURE,5000,7.88,0.05
5670,C,PERSONAL,11500,13.79,0.25
5671,A,EDUCATION,5000,7.88,0.05
5672,B,MEDICAL,10375,,0.23
5673,B,PERSONAL,5000,,0.05
5674,A,VENTURE,10000,5.42,0.22
5675,D,DEBTCONSOLIDATION,1500,,0.04
5676,F,MEDICAL,5000,,0.05
5677,B,EDUCATION,5000,12.69,0.05
5678,A,HOMEIMPROVEMENT,3850,,0.08
5679,A,VENTURE,10000,5.79,0.22
5680,A,EDUCATION,5000,7.66,0.05
5681,A,HOMEIMPROVEMENT,9225,,0.2
5682,C,EDUCATION,8500,,0.18
5683,B,VENTURE,5000,9.99,0.05
5684,B,DEBTCONSOLIDATION,5000,11.71,0.04
5685,B,DEBTCONSOLIDATION,5000,10.25,0.04
5686,B,PERSONAL,25000,12.18,0.54
5687,A,HOMEIMPROVEMENT,5000,8.9,0.04
5688,D,MEDICAL,5000,,0.05
5689,D,HOMEIMPROVEMENT,5000,14.96,0.04
5690,A,EDUCATION,5000,,0.04
5691,C,EDUCATION,10000,13.16,0.22
5692,A,HOMEIMPROVEMENT,5000,7.68,0.04
5693,C,PERSONAL,5000,13.79,0.04
5694,D,VENTURE,5000,15.31,0.04
5695,B,MEDICAL,5000,11.36,0.04
5696,B,VENTURE,5000,10.99,0.04
5697,B,DEBTCONSOLIDATION,10075,12.42,0.22
5698,A,PERSONAL,5000,6.62,0.11
5699,B,VENTURE,5000,10.65,0.03
5700,B,VENTURE,5000,,0.03
5701,D,DEBTCONSOLIDATION,5000,14.91,0.04
5702,C,MEDICAL,5000,13.23,0.04
5703,D,PERSONAL,5000,14.11,0.03
5704,B,HOMEIMPROVEMENT,11000,12.69,0.24
5705,B,MEDICAL,5200,11.86,0.24
5706,C,DEBTCONSOLIDATION,5200,13.49,0.22
5707,C,EDUCATION,5200,12.53,0.21
5708,C,EDUCATION,2125,12.99,0.05
5709,A,VENTURE,3000,5.42,0.07
5710,B,MEDICAL,5200,12.53,0.2
5711,C,MEDICAL,5200,15.96,0.17
5712,A,PERSONAL,15000,6.99,0.33
5713,E,DEBTCONSOLIDATION,5200,17.19,0.17
5714,C,DEBTCONSOLIDATION,5200,14.65,0.16
5715,C,DEBTCONSOLIDATION,5200,13.92,0.15
5716,B,EDUCATION,5200,12.42,0.14
5717,B,DEBTCONSOLIDATION,5200,10.74,0.14
5718,A,MEDICAL,5200,7.88,0.14
5719,C,EDUCATION,6000,12.68,0.13
